ticker,company_name,our_sector,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
EIDPARRY.NS,EID PARRY INDIA LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,ok
EIHOTEL.NS,EIH LIMITED,CONSUMER SERVICES,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
ELECON.NS,ELECON ENGINEERING COMPANY LIMITED,INDUSTRIAL,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,ok
ELECTCAST.NS,Electrosteel Castings,METALS,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,ok
ELGIEQUIP.NS,ELGI EQUIPMENTS LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines",ok
EMAMILTD.NS,EMAMI LIMITED,FMCG,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
EMCURE.NS,EMCURE PHARMACEUTICALS LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
ENDURANCE.NS,ENDURANCE TECHNOLOGIES LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
ENGINERSIN.NS,ENGINEERS INDIA LIMITED,INFRASTRUCTURE,Industrials,Construction,Construction,Civil Construction,ok
EQUITAS.NS,EQUITAS HOLDINGS LIMITED,FINANCIAL SERVICES,Financial Services,Financial Services,Finance,Investment Company,ok
EQUITASBNK.NS,EQUITAS SMALL FINANCE BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Other Bank,ok
ERIS.NS,ERIS LIFESCIENCES LIMITED,HEALTHCARE,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
ESCORTS.NS,ESCORTS LIMITED,AUTOMOBILE,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors,ok
ESSELPACK.NS,ESSEL PROPACK LIMITED,INDUSTRIAL,,,,,no_breadcrumb
EXIDEIND.NS,EXIDE INDUSTRIES LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
FACT.NS,FERTILISERS AND CHEMICALS TRAVANCORE LIMITED,CHEMICALS,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
FEDERALBNK.NS,FEDERAL BANK LIMITED,BANKING,Financial Services,Financial Services,Banks,Private Sector Bank,ok
FIEMIND.NS,FIEM INDUSTRIES LIMITED,AUTO COMPONENTS,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,ok
FINCABLES.NS,FINOLEX CABLES LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,Cables - Electricals,ok
FINEORG.NS,FINE ORGANIC INDUSTRIES LIMITED,CHEMICALS,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
FINPIPE.NS,FINOLEX INDUSTRIES LIMITED,INDUSTRIAL,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,ok
