ticker,company_name,our_sector,expected_sector,verdict,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
INDIACEM.NS,THE INDIA CEMENTS LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
JKCEMENT.NS,JK CEMENT LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
JKLAKSHMI.NS,JK LAKSHMI CEMENT LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
NUVOCO.NS,NUVOCO VISTAS CORPORATION LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
PRSMJOHNSN.NS,PRISM JOHNSON LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
RAMCOCEM.NS,THE RAMCO CEMENTS LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
SHREECEM.NS,SHREE CEMENT LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
STARCEMENT.NS,STAR CEMENT LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,CEMENT,CEMENT,match,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,ok
AARTIIND.NS,AARTI INDUSTRIES LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
ACI.NS,ARCHEAN CHEMICAL INDUSTRIES LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
ALKYLAMINE.NS,ALKYL AMINES CHEMICALS LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
ATUL.NS,ATUL LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
BALAMINES.NS,BALAJI AMINES LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
BASF.NS,BASF INDIA LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
BAYERCROP.NS,BAYER CROPSCIENCE LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
BHARATRAS.NS,BHARAT RASAYAN LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
CHAMBLFERT.NS,CHAMBAL FERTILISERS AND CHEMICALS LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
CHEMPLASTS.NS,CHEMPLAST SANMAR LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,ok
CLEAN.NS,CLEAN SCIENCE AND TECHNOLOGY,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
COROMANDEL.NS,COROMANDEL INTERNATIONAL LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
DEEPAKFERT.NS,DEEPAK FERTILIZERS & PETR,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,ok
DEEPAKNTR.NS,DEEPAK NITRITE LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
DHANUKA.NS,DHANUKA AGRITECH LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
FACT.NS,FERTILISERS AND CHEMICALS TRAVANCORE LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
FINEORG.NS,FINE ORGANIC INDUSTRIES LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
FLUOROCHEM.NS,GUJARAT FLUOROCHEMICALS LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
GNFC.NS,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,ok
GSFC.NS,GUJARAT STATE FERTILIZERS & CHEMICALS,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
GUJALKALI.NS,GUJARAT ALKALIES AND CHEMICALS LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,ok
HSCL.NS,HIMADRI SPECIALITY CHEMICAL LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black,ok
JUBLINGREA.NS,JUBILANT INGREVIA LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
LINDEINDIA.NS,LINDE INDIA LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Industrial Gases,ok
LXCHEM.NS,LAXMI ORGANIC INDUSTRIES LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
NAVINFLUOR.NS,NAVIN FLUORINE INTERNATIONAL LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
NFL.NS,NATIONAL FERTILIZERS LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
NOCIL.NS,NOCIL LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
PCBL.NS,PHILLIPS CARBON BLACK LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Carbon Black,ok
PIDILITIND.NS,PIDILITE INDUSTRIES LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
PIIND.NS,PI INDUSTRIES LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
RAIN.NS,RAIN INDUSTRIES LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals,ok
RALLIS.NS,RALLIS INDIA LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
RCF.NS,RASHTRIYA CHEMICALS & FERTILIZERS LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,ok
SHARDACROP.NS,SHARDA CROPCHEM LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
SOLARINDS.NS,SOLAR INDUSTRIES INDIA LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Explosives,ok
SRF.NS,SRF LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,ok
SUDARSCHEM.NS,SUDARSHAN CHEMICAL INDUSTRIES LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,ok
SUMICHEM.NS,SUMITOMO CHEMICAL INDIA LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
TATACHEM.NS,TATA CHEMICALS LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,ok
UPL.NS,UPL LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals,ok
VINATIORGA.NS,VINATI ORGANICS LIMITED,CHEMICALS,CHEMICALS,match,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals,ok
AMBER.NS,AMBER ENTERPRISES INDIA LTD,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
BATAINDIA.NS,BATA INDIA LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,ok
BLUESTARCO.NS,BLUE STAR LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
CAMPUS.NS,CAMPUS ACTIVEWEAR LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear,ok
CELLO.NS,CELLO WORLD LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Houseware,ok
CERA.NS,CERA SANITARYWARE LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Sanitary Ware,ok
CROMPTON.NS,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
DIXON.NS,DIXON TECHNOLOGIES (INDIA) LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,ok
HAVELLS.NS,HAVELLS INDIA LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics,ok
IFBIND.NS,IFB INDUSTRIES LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,ok
KAJARIACER.NS,KAJARIA CERAMICS LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,ok
KALYANKJIL.NS,KALYAN JEWELLERS INDIA LIMITED,CONSUMER DURABLES,CONSUMER DURABLES,match,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",ok
