ticker,company_name,our_sector,expected_sector,verdict,screener_broad_sector,screener_sector,screener_broad_industry,screener_industry,status
IRCTC.NS,INDIAN RAILWAY CATERING AND TOURISM CORPORATION LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",ok
ITDC.NS,INDIA TOURISM DEVELOPMENT CORPORATION LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
JUBLFOOD.NS,JUBILANT FOODWORKS LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,ok
LEMONTREE.NS,LEMON TREE HOTELS LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
MHRIL.NS,MAHINDRA HOLIDAYS & RESORTS INDIA LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
NYKAA.NS,FSN E-Commerce Ventures Ltd,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,ok
QUESS.NS,QUESS CORP LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,ok
SAPPHIRE.NS,SAPPHIRE FOODS INDIA LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,ok
SHOPERSTOP.NS,SHOPPERS STOP LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail,ok
SIS.NS,SECURITY AND INTELLIGENCE SERVICES (INDIA) LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Other Consumer Services,Other Consumer Services,ok
TAJGVK.NS,TAJ GVK HOTELS & RESORTS LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,ok
TBOTEK.NS,TBO TEK LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",ok
TEAMLEASE.NS,TEAMLEASE SERVICES LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,ok
THOMASCOOK.NS,THOMAS COOK (INDIA) LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,"Tour, Travel Related Services",ok
TRENT.NS,TRENT LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail,ok
WESTLIFE.NS,WESTLIFE DEVELOPMENT LIMITED,CONSUMER SERVICES,CONSUMER SERVICES,match,Consumer Discretionary,Consumer Services,Leisure Services,Restaurants,ok
ADANIENSOL.NS,ADANI ENERGY SOLUTIONS LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Distribution,ok
ADANIGREEN.NS,ADANI GREEN ENERGY LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
ADANIPOWER.NS,ADANI POWER LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Integrated Power Utilities,ok
ASIANENE.NS,ASIAN ENERGY SERVICES LTD,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services,ok
ATGL.NS,ADANI TOTAL GAS LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier,ok
BPCL.NS,BHARAT PETROLEUM CORPORATION LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,ok
CASTROLIND.NS,CASTROL INDIA LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants,ok
CESC.NS,CESC LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Integrated Power Utilities,ok
CHENNPETRO.NS,CHENNAI PETROLEUM CORPORATION,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,ok
GAIL.NS,GAIL (INDIA) LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Gas,Gas Transmission/Marketing,ok
GSPL.NS,GUJARAT STATE PETRONET LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Gas,Gas Transmission/Marketing,ok
GUJGASLTD.NS,GUJARAT GAS LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier,ok
GULFOILLUB.NS,GULF OIL LUBRICANTS INDIA LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants,ok
HINDPETRO.NS,HINDUSTAN PETROLEUM CORPORATION LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,ok
IGL.NS,INDRAPRASTHA GAS LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier,ok
IOC.NS,INDIAN OIL CORPORATION LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,ok
JPPOWER.NS,JAIPRAKASH POWER VENTURES LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
JSWENERGY.NS,JSW ENERGY LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
KPEL.NS,K P Energy Limited,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
KPIGREEN.NS,KPI GREEN ENERGY LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
MGL.NS,MAHANAGAR GAS LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier,ok
MRPL.NS,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,ok
NAVA.NS,NAVA LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
NHPC.NS,NHPC LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
NLCINDIA.NS,NLC INDIA LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
NTPC.NS,NTPC LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
OIL.NS,OIL INDIA LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,ok
ONGC.NS,OIL AND NATURAL GAS CORPORATION LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,ok
PETRONET.NS,PETRONET LNG LIMITED,ENERGY,ENERGY,match,Energy,"Oil, Gas & Consumable Fuels",Gas,LPG/CNG/PNG/LNG Supplier,ok
POWERGRID.NS,POWER GRID CORPORATION OF INDIA LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power - Transmission,ok
RPOWER.NS,RELIANCE POWER LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
SJVN.NS,SJVN LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Power Generation,ok
TATAPOWER.NS,TATA POWER COMPANY LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Integrated Power Utilities,ok
TORNTPOWER.NS,TORRENT POWER LIMITED,ENERGY,ENERGY,match,Utilities,Power,Power,Integrated Power Utilities,ok
360ONE.NS,360 ONE WAM LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,ok
AADHARHFC.NS,AADHAR HOUSING FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Housing Finance Company,ok
AAVAS.NS,AAVAS FINANCIERS LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Housing Finance Company,ok
ABCAPITAL.NS,ADITYA BIRLA CAPITAL LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Investment Company,ok
ABSLAMC.NS,ADITYA BIRLA SUN LIFE AMC LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Asset Management Company,ok
ANANDRATHI.NS,ANAND RATHI WEALTH LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Financial Products Distributor,ok
ANGELONE.NS,ANGEL ONE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,ok
APTUS.NS,APTUS VALUE HOUSING FINANCE INDIA,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Housing Finance Company,ok
BAJAJFINSV.NS,BAJAJ FINSERV LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Holding Company,ok
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
BSE.NS,BSE Ltd,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,ok
CAMS.NS,COMPUTER AGE MANAGEMENT SERVICES LTD,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",ok
CANFINHOME.NS,CAN FIN HOMES LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Housing Finance Company,ok
CDSL.NS,CENTRAL DEPOSITORY SERVICES (INDIA) LTD,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",ok
CENTRUM.NS,CENTRUM CAPITAL LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Other Financial Services,ok
CGCL.NS,CAPRI GLOBAL CAPITAL LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
CHOLAFIN.NS,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
CHOLAHLDNG.NS,CHOLAMANDALAM FINANCIAL HOLDINGS,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Investment Company,ok
CREDITACC.NS,CREDITACCESS GRAMEEN LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Microfinance Institutions,ok
CRISIL.NS,CRISIL LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Other Financial Services,ok
DHANI.NS,DHANI SERVICES LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Other Financial Services,ok
EDELWEISS.NS,EDELWEISS FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Holding Company,ok
EQUITAS.NS,EQUITAS HOLDINGS LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Investment Company,ok
FIVESTAR.NS,FIVE STAR BUSINESS FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
GICRE.NS,GENERAL INSURANCE CORPORATION OF INDIA,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Insurance,General Insurance,ok
GODIGIT.NS,GO DIGIT GENERAL INSURANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Insurance,General Insurance,ok
HDFCAMC.NS,HDFC ASSET MANAGEMENT COMPANY LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Asset Management Company,ok
HDFCLIFE.NS,HDFC LIFE INSURANCE COMPANY LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Insurance,Life Insurance,ok
HOMEFIRST.NS,HOME FIRST FINANCE COMPANY INDIA,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Housing Finance Company,ok
HUDCO.NS,HOUSING & URBAN DEVELOPMENT CORPORATION LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Financial Institution,ok
ICICIGI.NS,ICICI LOMBARD GENERAL INSURANCE COMPANY LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Insurance,General Insurance,ok
ICICIPRULI.NS,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Insurance,Life Insurance,ok
IDFC.NS,IDFC LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Holding Company,ok
IFCI.NS,IFCI LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Financial Institution,ok
IIFL.NS,IIFL FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
INDOSTAR.NS,INDOSTAR CAPITAL FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
IREDA.NS,INDIAN RENEWABLE ENERGY DEV AGENCY,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Financial Institution,ok
IRFC.NS,INDIAN RAILWAY FINANCE CORPORATION LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Financial Institution,ok
JIOFIN.NS,JIO FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Investment Company,ok
JMFINANCIL.NS,JM FINANCIAL LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Holding Company,ok
KFINTECH.NS,KFIN TECHNOLOGIES LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",ok
LICHSGFIN.NS,LIC HOUSING FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Housing Finance Company,ok
LICI.NS,LIFE INSURANCE CORPORATION OF INDIA,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Insurance,Life Insurance,ok
LTF.NS,L&T FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
M&MFIN.NS,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
MANAPPURAM.NS,MANAPPURAM FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
MCX.NS,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Exchange and Data Platform,ok
MFSL.NS,MAX FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Insurance,Life Insurance,ok
MOTILALOFS.NS,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,ok
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
NAM-INDIA.NS,NIPPON LIFE INDIA ASSET MANAGEMENT,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Asset Management Company,ok
NIACL.NS,THE NEW INDIA ASSURANCE CO LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Insurance,General Insurance,ok
NUVAMA.NS,NUVAMA WEALTH MANAGEMENT LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,ok
PAYTM.NS,ONE97 COMMUNICATIONS LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),ok
PEL.NS,PIRAMAL ENTERPRISES LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
PFC.NS,POWER FINANCE CORPORATION LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Financial Institution,ok
PNBHOUSING.NS,PNB HOUSING FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Housing Finance Company,ok
POLICYBZR.NS,PB FINTECH LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Financial Technology (Fintech),Financial Technology (Fintech),ok
POONAWALLA.NS,POONAWALLA FINCORP LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
RECLTD.NS,REC LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Financial Institution,ok
RELIGARE.NS,RELIGARE ENTERPRISES LTD,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Investment Company,ok
REPCOHOME.NS,REPCO HOME FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Housing Finance Company,ok
SAMMAANCAP.NS,SAMMAAN CAPITAL LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Housing Finance Company,ok
SBFC.NS,SBFC FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
SBICARD.NS,SBI CARDS AND PAYMENT SERVICES,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
SBILIFE.NS,SBI LIFE INSURANCE COMPANY LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Insurance,Life Insurance,ok
SHRIRAMFIN.NS,SHRIRAM FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
STARHEALTH.NS,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Insurance,General Insurance,ok
SUNDARMFIN.NS,SUNDARAM FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),ok
TVSHLTD.NS,TVS HOLDINGS LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Investment Company,ok
UTIAMC.NS,UTI ASSET MANAGEMENT COMPANY LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Capital Markets,Asset Management Company,ok
VLSFINANCE.NS,VLS FINANCE LIMITED,FINANCIAL SERVICES,FINANCIAL SERVICES,match,Financial Services,Financial Services,Finance,Investment Company,ok
AWL.NS,ADANI WILMAR LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,ok
BALRAMCHIN.NS,BALRAMPUR CHINI MILLS LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,ok
BIKAJI.NS,BIKAJI FOODS INTERNATIONAL LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,ok
BRITANNIA.NS,BRITANNIA INDUSTRIES LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,ok
CCL.NS,CCL PRODUCTS (INDIA) LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,ok
COLPAL.NS,COLGATE PALMOLIVE (INDIA) LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
DABUR.NS,DABUR INDIA LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
EIDPARRY.NS,EID PARRY INDIA LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,ok
EMAMILTD.NS,EMAMI LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
GILLETTE.NS,GILLETTE INDIA LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
GODREJCP.NS,GODREJ CONSUMER PRODUCTS LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
HATSUN.NS,HATSUN AGRO PRODUCT LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Dairy Products,ok
HINDUNILVR.NS,HINDUSTAN UNILEVER LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,ok
HONASA.NS,HONASA CONSUMER LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
ITC.NS,ITC LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,ok
JYOTHYLAB.NS,JYOTHY LABS LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,ok
KRBL.NS,KRBL LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products,ok
MARICO.NS,MARICO LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,ok
NESTLEIND.NS,NESTLE INDIA LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,ok
PATANJALI.NS,PATANJALI FOODS LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,ok
PGHH.NS,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care,ok
RADICO.NS,RADICO KHAITAN LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,ok
TATACONSUM.NS,TATA CONSUMER PRODUCTS LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,ok
UBL.NS,UNITED BREWERIES LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,ok
UNITDSPR.NS,UNITED SPIRITS LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries,ok
VBL.NS,VARUN BEVERAGES LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages,Other Beverages,ok
VSTIND.NS,VST INDUSTRIES LIMITED,FMCG,FMCG,match,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,ok
ABBOTINDIA.NS,ABBOTT INDIA LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
AJANTPHARM.NS,AJANTA PHARMA LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
AKUMS.NS,AKUMS DRUGS AND PHARMACEUTICALS,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
ALKEM.NS,ALKEM LABORATORIES LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
APOLLOHOSP.NS,APOLLO HOSPITALS ENTERPRISE LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Healthcare Services,Hospital,ok
ASTERDM.NS,ASTER DM HEALTHCARE LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Healthcare Services,Hospital,ok
ASTRAZEN.NS,ASTRAZENECA PHARMA INDIA LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
AUROPHARMA.NS,AUROBINDO PHARMA LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
BIOCON.NS,BIOCON LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
CAPLIPOINT.NS,CAPLIN POINT LABORATORIES LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
CIPLA.NS,CIPLA LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
CONCORDBIO.NS,CONCORD BIOTECH LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
DIVISLAB.NS,DIVI'S LABORATORIES LIMITED,HEALTHCARE,HEALTHCARE,match,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,ok
